source_id,topology,band_user,band_resolved,route_function,rwa_key,scale,cfm_capacity_bps,cfm_capacity_tbps,cfm_lightpaths,elapsed_seconds,span_length_km,launch_power_dBm
696a7016730f908b27b5c16a,DTAG,CL,CL,FF-kSP,FF-kSP CL RWA,0.2,928154080745534.0,928.154080745534,1604,204.71473034191877,80.0,-2.0
696a7016730f908b27b5c16a,DTAG,CL,CL,FF-kSP,FF-kSP CL RWA,0.4,903162003034080.1,903.1620030340802,1604,197.043845821172,80.0,-2.0
696a7016730f908b27b5c16a,DTAG,CL,CL,FF-kSP,FF-kSP CL RWA,0.6,881077906339421.0,881.077906339421,1604,206.7299125539139,80.0,-2.0
696a7016730f908b27b5c16a,DTAG,CL,CL,FF-kSP,FF-kSP CL RWA,0.8,861265736553817.2,861.2657365538173,1604,215.10054737050086,80.0,-2.0
696a7016730f908b27b5c16a,DTAG,CL,CL,FF-kSP,FF-kSP CL RWA,1.0,843285407150346.5,843.2854071503465,1604,204.31427159067243,80.0,-2.0
