source_id,topology,band_user,band_resolved,route_function,rwa_key,scale,cfm_capacity_bps,cfm_capacity_tbps,cfm_lightpaths,elapsed_seconds,span_length_km,launch_power_dBm
696a7016730f908b27b5c16a,DTAG,C,C,kSP-FF,kSP-FF C RWA,0.2,382349125544050.1,382.34912554405014,605,217.51648855116218,80.0,-2.0
696a7016730f908b27b5c16a,DTAG,C,C,kSP-FF,kSP-FF C RWA,0.4,372023423649252.94,372.02342364925295,605,196.32391857355833,80.0,-2.0
696a7016730f908b27b5c16a,DTAG,C,C,kSP-FF,kSP-FF C RWA,0.6,362946214722815.0,362.946214722815,605,205.43721281178296,80.0,-2.0
696a7016730f908b27b5c16a,DTAG,C,C,kSP-FF,kSP-FF C RWA,0.8,354838859399486.9,354.83885939948686,605,200.39512073248625,80.0,-2.0
696a7016730f908b27b5c16a,DTAG,C,C,kSP-FF,kSP-FF C RWA,1.0,347509226385336.3,347.5092263853363,605,199.14568243548274,80.0,-2.0
